Subject,Block,Trial,FixationSeq,AOI,StartTime_ms,EndTime_ms,Duration_ms,SampleCount,Mean_X,Mean_Y,SD_X,SD_Y
991,2,4,1,NaN,0,169,169,170,993.632144927979,170.996131352016,0.996909023106474,5.51006859341205
991,2,4,2,A1,196,467,271,272,928.583331524884,475.539260073061,2.2680606646982,7.4440785208808
991,2,4,3,A3,476,803,327,328,955.609051476227,604.272546499053,2.58095178775406,5.40116134735937
991,2,4,4,A4,813,1027,214,215,956.373709235393,728.090845099078,1.88582615797132,6.57041608677589
991,2,4,5,B2,1061,1283,222,223,1286.40203415538,527.90588309862,3.68990412583695,2.46028078668959
991,2,4,6,B1,1295,1558,263,264,1297.87614475862,413.094274855752,1.70351099987391,5.00023365813177
991,2,4,7,B2,1571,1794,223,224,1287.04864666913,590.10157610919,3.22290609357088,9.09438195382469
991,2,4,8,B3,1799,1988,189,190,1286.80132926779,668.673138882251,1.55804053636995,4.63401248026719
991,2,4,9,B4,1996,2530,534,535,1295.01970049946,772.111914257171,2.61484740426256,5.3095483802791
991,2,4,10,NaN,2565,2753,188,189,947.101337942848,852.845455067681,4.01318581627445,2.93674530637435
991,2,4,11,A1,2794,3075,281,282,973.978033992222,384.10178565979,2.88817239595798,3.73453169530447
991,2,4,12,B,3109,3219,110,111,1227.3582573287,307.249081392901,4.40526300479466,3.12603534504688
991,2,5,1,NaN,0,173,173,174,1008.90668416578,175.453488327736,0.766337033902479,4.8691377873372
991,2,5,2,A1,201,484,283,284,959.63475177305,446.511878480303,2.91363725957049,8.49521089039311
991,2,5,3,A3,495,1145,650,651,946.296531641979,612.969337686736,7.29181550898876,28.5223863074881
991,2,5,4,A3,1154,1395,241,242,953.067710367839,692.333749516805,2.23182028164769,5.1342279965974
991,2,5,5,B2,1436,1980,544,545,1284.44520920109,516.307367763906,10.4931856826939,31.4786866750809
991,2,5,6,B4,1994,2274,280,281,1305.68673410723,772.087276773213,6.33992883368245,11.8609299472956
991,2,6,1,NaN,0,165,165,166,985.59298724663,155.414329342726,1.17761007432438,4.11195144266014
991,2,6,2,A1,190,453,263,264,951.872901042909,428.568702814233,1.92625887104675,7.77424138922754
991,2,6,3,A2,463,766,303,304,941.60546491004,568.757616257825,1.94040330265612,5.05294018502859
991,2,6,4,A3,775,1053,278,279,953.000177596881,668.834658185498,2.29578896028414,2.69981373313486
991,2,6,5,B2,1088,1575,487,488,1289.49752732265,544.491152037318,3.34200590730668,5.51527301881291
991,2,6,6,B4,1601,1853,252,253,1315.24103634291,775.123107180652,3.68823388498433,3.90151952052774
991,2,6,7,A4,1886,1985,99,100,956.398979342714,755.056627546038,6.37646716850835,3.34420397167729
991,2,7,1,NaN,0,137,137,138,989.451840120203,162.652941479402,2.22925741171297,3.7069584739928
991,2,7,2,AT1,173,363,190,191,709.15264424319,432.01296189727,4.23152210899183,7.2551508730701
991,2,7,3,AT1,369,733,364,365,621.880439106755,453.777410501948,3.60971028866428,3.45858426124148
991,2,7,4,AT2,744,873,129,130,627.935937404633,580.104297637939,1.92234594587275,4.2216818735402
991,2,7,5,A1,904,1227,323,324,962.999221327882,448.992547029294,3.06773028943463,1.9493121300077
991,2,7,6,A4,1250,1553,303,304,961.004304595341,702.004969211604,1.56066222884353,6.25728652200451
991,2,7,7,A1,1582,1800,218,219,956.989399571573,481.673731298491,2.09101569315167,3.59976256059956
991,2,7,8,B1,1831,2096,265,266,1292.765528361,470.963257529519,3.21392595649278,3.99005128579335
991,2,7,9,B3,2106,2332,226,227,1310.40422281901,616.042221815321,4.65179759526112,6.71459031575849
991,2,7,10,B4,2347,2574,227,228,1310.75398294905,807.936504397772,5.88442721378478,9.01343029208667
991,2,8,1,NaN,0,31,31,32,999.743334960938,207.001666768392,0.54907601396316,4.1933552306552
991,2,8,2,A4,64,256,192,193,977.13455296062,707.257591686948,4.1958882415916,9.7405944135349
991,2,8,3,A2,290,595,305,306,951.807072790045,491.455920520582,2.39757495109049,3.9094197144825
991,2,8,4,A3,621,950,329,330,963.264787348305,676.287653295005,1.76096716249515,5.23629532804641
991,2,8,5,B4,980,1137,157,158,1157.41666705792,808.002245193873,5.42697026467533,3.25635042151412
991,2,8,6,B4,1147,1291,144,145,1269.27936943428,800.677270849268,4.70286492637871,1.33290449328046
991,2,8,7,A4,1324,1511,187,188,963.647578413768,726.977151522072,3.91414802589534,1.63400250401818
991,2,8,8,A,1551,1834,283,284,975.636524822695,346.160283839449,1.26113304689722,2.73991374581336
